"Motion Profile Trajectory generated by MCSF"
maxV(rps),2855.98
maxA(rps/s),1903.99
dist(r),42839.7
ItP(ms),10
T1(ms),1499
T2(ms),749
T4(ms),14999
FL1,150
FL2,75
N,1499
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
172,1.71,1,65.46,2497.48,1762.86,1352.83,10
173,1.72,1,65.8133,2510.76,1787.9,1327.78,10
174,1.73,1,66.16,2523.78,1813.08,1302.73,10
175,1.74,1,66.5,2536.56,1838.38,1277.67,10
176,1.75,1,66.8333,2549.09,1863.81,1252.62,10
177,1.76,1,67.16,2561.36,1889.36,1227.57,10
178,1.77,1,67.48,2573.39,1915.03,1202.52,10
179,1.78,1,67.7933,2585.16,1940.83,1177.46,10
180,1.79,1,68.1,2596.69,1966.74,1152.41,10
181,1.8,1,68.4,2607.96,1992.76,1127.36,10
182,1.81,1,68.6933,2618.98,2018.89,1102.31,10
183,1.82,1,68.98,2629.75,2045.14,1077.25,10
184,1.83,1,69.26,2640.28,2071.49,1052.2,10
185,1.84,1,69.5333,2650.55,2097.94,1027.15,10
186,1.85,1,69.8,2660.57,2124.5,1002.1,10
187,1.86,1,70.06,2670.34,2151.15,977.045,10
188,1.87,1,70.3133,2679.86,2177.9,951.993,10
189,1.88,1,70.56,2689.13,2204.75,926.94,10
190,1.89,1,70.8,2698.15,2231.68,901.888,10
191,1.9,1,71.0333,2706.92,2258.71,876.835,10
192,1.91,1,71.26,2715.43,2285.82,851.783,10
193,1.92,1,71.48,2723.7,2313.02,826.73,10
194,1.93,1,71.6933,2731.72,2340.29,801.678,10
195,1.94,1,71.9,2739.48,2367.65,776.626,10
196,1.95,1,72.1,2747,2395.08,751.573,10
197,1.96,1,72.2933,2754.27,2422.59,726.521,10
198,1.97,1,72.48,2761.28,2450.17,701.468,10
199,1.98,1,72.66,2768.04,2477.81,676.416,10
200,1.99,1,72.8333,2774.56,2505.53,651.363,10
201,2,1,73,2780.82,2533.3,626.311,10
202,2.01,1,73.16,2786.83,2561.14,601.259,10
