"Motion Profile Trajectory generated by MCSF"
maxV(rps),2244.02
maxA(rps/s),1496.01
dist(r),33660.3
ItP(ms),10
T1(ms),1500
T2(ms),750
T4(ms),15000
FL1,150
FL2,75
N,1500
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
260,2.59,1,75,2244.02,3309.64,0,10
261,2.6,1,75,2244.02,3332.08,0,10
262,2.61,1,75,2244.02,3354.52,0,10
263,2.62,1,75,2244.02,3376.96,0,10
264,2.63,1,75,2244.02,3399.4,0,10
265,2.64,1,75,2244.02,3421.84,0,10
266,2.65,1,75,2244.02,3444.28,0,10
267,2.66,1,75,2244.02,3466.72,0,10
268,2.67,1,75,2244.02,3489.16,0,10
269,2.68,1,75,2244.02,3511.6,0,10
270,2.69,1,75,2244.02,3534.04,0,10
271,2.7,1,75,2244.02,3556.48,0,10
272,2.71,1,75,2244.02,3578.92,0,10
273,2.72,1,75,2244.02,3601.36,0,10
274,2.73,1,75,2244.02,3623.8,0,10
275,2.74,1,75,2244.02,3646.24,0,10
276,2.75,1,75,2244.02,3668.68,0,10
277,2.76,1,75,2244.02,3691.12,0,10
278,2.77,1,75,2244.02,3713.56,0,10
279,2.78,1,75,2244.02,3736,0,10
280,2.79,1,75,2244.02,3758.44,0,10
281,2.8,1,75,2244.02,3780.88,0,10
282,2.81,1,75,2244.02,3803.32,0,10
283,2.82,1,75,2244.02,3825.76,0,10
284,2.83,1,75,2244.02,3848.2,0,10
285,2.84,1,75,2244.02,3870.64,0,10
286,2.85,1,75,2244.02,3893.08,0,10
287,2.86,1,75,2244.02,3915.52,0,10
288,2.87,1,75,2244.02,3937.96,0,10
289,2.88,1,75,2244.02,3960.4,0,10
290,2.89,1,75,2244.02,3982.84,0,10
291,2.9,1,75,2244.02,4005.28,0,10
292,2.91,1,75,2244.02,4027.72,0,10
293,2.92,1,75,2244.02,4050.16,0,10
294,2.93,1,75,2244.02,4072.6,0,10
295,2.94,1,75,2244.02,4095.04,0,10
296,2.95,1,75,2244.02,4117.49,0,10
297,2.96,1,75,2244.02,4139.93,0,10
298,2.97,1,75,2244.02,4162.37,0,10
299,2.98,1,75,2244.02,4184.81,0,10
300,2.99,1,75,2244.02,4207.25,0,10
301,3,1,75,2244.02,4229.69,0,10
302,3.01,1,75,2244.02,4252.13,0,10
303,3.02,1,75,2244.02,4274.57,0,10
304,3.03,1,75,2244.02,4297.01,0,10
305,3.04,1,75,2244.02,4319.45,0,10
306,3.05,1,75,2244.02,4341.89,0,10
307,3.06,1,75,2244.02,4364.33,0,10
308,3.07,1,75,2244.02,4386.77,0,10
309,3.08,1,75,2244.02,4409.21,0,10
310,3.09,1,75,2244.02,4431.65,0,10
311,3.1,1,75,2244.02,4454.09,0,10
312,3.11,1,75,2244.02,4476.53,0,10
313,3.12,1,75,2244.02,4498.97,0,10
314,3.13,1,75,2244.02,4521.41,0,10
315,3.14,1,75,2244.02,4543.85,0,10
316,3.15,1,75,2244.02,4566.29,0,10
317,3.16,1,75,2244.02,4588.73,0,10
318,3.17,1,75,2244.02,4611.17,0,10
319,3.18,1,75,2244.02,4633.61,0,10
320,3.19,1,75,2244.02,4656.05,0,10
321,3.2,1,75,2244.02,4678.49,0,10
322,3.21,1,75,2244.02,4700.93,0,10
323,3.22,1,75,2244.02,4723.37,0,10
324,3.23,1,75,2244.02,4745.81,0,10
325,3.24,1,75,2244.02,4768.25,0,10
326,3.25,1,75,2244.02,4790.69,0,10
327,3.26,1,75,2244.02,4813.13,0,10
328,3.27,1,75,2244.02,4835.57,0,10
329,3.28,1,75,2244.02,4858.01,0,10
330,3.29,1,75,2244.02,4880.45,0,10
331,3.3,1,75,2244.02,4902.89,0,10
332,3.31,1,75,2244.02,4925.33,0,10
